danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_genre
0.6,0.845,-7.076,0.0311,0.048,0.0,0.24,0.392,97.631,210612,62,acoustic
0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,154440,0,acoustic
0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,154440,0,acoustic
0.447,0.555,-6.018,0.0349,0.218,3.46e-06,0.124,0.33,117.888,263866,0,acoustic
0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,154440,0,acoustic
0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,154440,0,acoustic
0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,154440,0,acoustic
0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,154440,0,acoustic
0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078,154440,0,acoustic
0.661,0.937,-5.157,0.0979,0.322,1.04e-06,0.19,0.805,105.549,177613,0,acoustic
0.603,0.78,-5.531,0.0438,0.139,0.0,0.164,0.693,100.499,199040,0,acoustic
0.626,0.655,-6.69,0.0263,0.503,0.0,0.13,0.542,92.003,293040,58,acoustic
0.794,0.38,-8.769,0.0477,0.762,0.0,0.262,0.617,114.99,138495,50,acoustic
0.52,0.279,-10.739,0.0547,0.894,0.000105,0.103,0.0951,69.642,198626,59,acoustic
0.545,0.658,-7.174,0.0474,0.496,0.0,0.105,0.683,76.971,292566,57,acoustic
0.728,0.266,-7.322,0.0293,0.872,1.03e-05,0.114,0.307,115.189,199019,60,acoustic
0.66,0.407,-8.381,0.0571,0.236,0.0,0.109,0.257,133.86,181760,61,acoustic
0.357,0.161,-10.667,0.0388,0.971,1.4e-05,0.358,0.325,83.449,349920,49,acoustic
0.479,0.154,-11.282,0.0352,0.915,0.0,0.0974,0.36,147.207,204973,55,acoustic
0.592,0.769,-5.268,0.0311,0.319,4.66e-06,0.137,0.385,102.033,322146,51,acoustic
0.7,0.454,-10.39,0.0388,0.55,0.0022,0.121,0.34,80.011,210375,46,acoustic
0.402,0.197,-10.775,0.0295,0.858,1.05e-06,0.114,0.148,100.044,131000,57,acoustic
0.507,0.378,-9.019,0.0332,0.852,0.000212,0.0937,0.085,135.86,218531,58,acoustic
0.619,0.226,-13.453,0.0641,0.959,4.42e-05,0.106,0.188,124.96,195945,51,acoustic
0.404,0.571,-5.069,0.0303,0.182,2.08e-05,0.129,0.29,147.01,245933,63,acoustic
0.418,0.79,-6.599,0.0506,0.0284,9.96e-06,0.117,0.197,175.975,212386,53,acoustic
0.633,0.299,-7.798,0.0353,0.833,0.0,0.109,0.341,147.549,225165,60,acoustic
0.565,0.0392,-28.276,0.045,0.835,0.183,0.117,0.601,125.399,112008,47,acoustic
0.664,0.0755,-19.836,0.0389,0.91,0.0,0.164,0.575,80.004,123609,60,acoustic
0.585,0.303,-10.058,0.0398,0.694,0.0,0.115,0.142,136.703,240165,66,acoustic
0.65,0.271,-11.081,0.0314,0.794,6.9e-05,0.196,0.21,78.036,265843,67,acoustic
0.534,0.213,-8.64,0.0283,0.884,0.0,0.107,0.0998,98.385,194194,43,acoustic
0.456,0.386,-10.293,0.032,0.835,0.108,0.389,0.612,165.733,154600,54,acoustic
0.409,0.234,-13.711,0.0323,0.338,5e-05,0.0895,0.145,139.832,158960,60,acoustic
0.502,0.53,-9.573,0.0266,0.805,0.000738,0.0728,0.102,78.046,319000,49,acoustic
0.496,0.117,-12.884,0.0301,0.933,0.0,0.126,0.318,78.068,214360,57,acoustic
0.585,0.724,-6.513,0.0745,0.315,0.0681,0.0448,0.333,187.484,204480,42,acoustic
0.582,0.253,-11.43,0.0259,0.827,2.95e-05,0.091,0.294,90.186,277000,67,acoustic
0.637,0.14,-11.472,0.0407,0.903,0.0,0.107,0.392,139.78,214240,61,acoustic
0.672,0.623,-5.699,0.0297,0.241,0.0,0.0848,0.617,92.018,215173,71,acoustic
0.422,0.272,-10.772,0.0353,0.496,1.07e-05,0.0704,0.113,143.413,296862,49,acoustic
0.47,0.801,-6.426,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,235813,61,acoustic
0.564,0.864,-5.121,0.0341,0.0761,0.0,0.182,0.534,95.984,228933,61,acoustic
0.521,0.495,-7.756,0.027,0.128,0.0,0.296,0.116,135.061,339196,20,acoustic
0.616,0.81,-6.51,0.0668,0.369,0.0,0.107,0.79,97.994,296843,22,acoustic
0.615,0.812,-6.573,0.0458,0.184,0.0,0.328,0.74,98.954,218240,35,acoustic
0.478,0.305,-13.062,0.0306,0.675,0.00139,0.169,0.0974,108.66,151773,60,acoustic
0.479,0.541,-9.862,0.0545,0.737,0.0,0.108,0.321,85.994,181400,59,acoustic
0.587,0.767,-5.713,0.0449,0.225,0.0,0.112,0.664,100.38,201706,73,acoustic
0.514,0.569,-7.866,0.03,0.601,2.21e-06,0.218,0.264,142.597,192260,22,acoustic
0.646,0.836,-6.203,0.0327,0.301,3.23e-05,0.29,0.727,105.991,198855,19,acoustic
0.57,0.711,-4.155,0.0703,0.119,0.0,0.352,0.648,163.117,191889,24,acoustic
0.678,0.199,-9.785,0.0307,0.957,3.23e-06,0.0968,0.262,72.006,171293,57,acoustic
0.589,0.867,-4.523,0.0385,0.041,0.0,0.306,0.795,94.52,256440,35,acoustic
0.626,0.926,-4.441,0.0477,0.0265,0.0,0.159,0.548,99.997,221425,20,acoustic
0.686,0.556,-8.5,0.0271,0.532,0.0,0.0922,0.36,112.997,255047,18,acoustic
0.56,0.832,-5.595,0.0352,0.108,0.0,0.232,0.802,100.957,208793,19,acoustic
0.619,0.793,-5.964,0.0661,0.263,0.0,0.0828,0.892,177.991,214552,23,acoustic
0.56,0.278,-12.501,0.0921,0.733,0.0,0.112,0.594,102.187,264280,19,acoustic
0.595,0.805,-7.926,0.0543,0.0167,1.06e-05,0.0691,0.359,102.44,289041,18,acoustic
0.438,0.827,-6.531,0.0328,0.0512,0.000402,0.319,0.645,143.377,322080,65,acoustic
0.582,0.375,-13.277,0.0329,0.702,0.0631,0.136,0.106,129.909,238971,55,acoustic
0.453,0.295,-12.881,0.0291,0.518,0.00011,0.293,0.14,146.022,276575,47,acoustic
0.636,0.625,-7.895,0.0277,0.222,5.35e-05,0.119,0.342,93.931,249120,56,acoustic
0.639,0.201,-16.613,0.0526,0.907,2.26e-05,0.124,0.4,88.107,111734,53,acoustic
0.69,0.423,-9.194,0.0294,0.883,0.0123,0.111,0.59,130.121,210760,49,acoustic
0.599,0.349,-9.269,0.0301,0.819,0.0,0.112,0.444,147.913,255688,51,acoustic
0.519,0.264,-11.171,0.0601,0.918,0.000253,0.237,0.192,140.354,181786,53,acoustic
0.643,0.569,-7.459,0.0276,0.544,2.17e-05,0.178,0.275,120.507,244600,66,acoustic
0.573,0.624,-9.076,0.0324,0.471,0.117,0.114,0.529,161.025,174546,56,acoustic
0.654,0.821,-5.472,0.0264,0.00666,0.00299,0.228,0.613,111.958,234330,47,acoustic
0.426,0.399,-8.447,0.034,0.761,0.00112,0.118,0.217,115.979,255600,51,acoustic
0.505,0.21,-11.349,0.0295,0.907,0.0,0.11,0.323,80.721,176542,55,acoustic
0.693,0.43,-9.395,0.0442,0.565,0.0,0.0928,0.731,151.001,243494,60,acoustic
0.739,0.287,-14.007,0.059,0.969,0.961,0.111,0.557,80.64,188695,40,acoustic
0.453,0.146,-8.976,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905,229400,58,acoustic
0.606,0.54,-6.271,0.0339,0.182,0.000144,0.144,0.249,79.952,216853,55,acoustic
0.595,0.646,-5.495,0.0327,0.11,0.0,0.258,0.563,120.049,149000,50,acoustic
0.736,0.145,-9.215,0.0336,0.855,0.0,0.108,0.235,129.832,157231,52,acoustic
0.479,0.126,-13.974,0.0303,0.966,0.0,0.113,0.279,96.327,226603,54,acoustic
0.583,0.786,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055,258826,73,acoustic
0.549,0.291,-13.457,0.0388,0.858,0.000846,0.129,0.376,75.153,194013,38,acoustic
0.418,0.489,-8.373,0.0323,0.287,0.0288,0.42,0.398,72.891,242439,53,acoustic
0.498,0.12,-17.721,0.0487,0.851,0.0,0.171,0.338,121.187,232500,55,acoustic
0.769,0.135,-12.049,0.061,0.986,0.905,0.106,0.471,103.939,156787,41,acoustic
0.434,0.469,-7.849,0.0265,0.52,0.000328,0.108,0.0568,136.282,263823,46,acoustic
0.452,0.198,-9.374,0.0335,0.931,2.24e-06,0.1,0.217,119.499,250916,63,acoustic
0.544,0.5,-8.253,0.026,0.0325,3.78e-06,0.109,0.177,93.621,238493,66,acoustic
0.662,0.187,-9.003,0.0268,0.969,0.000273,0.0922,0.233,104.988,215906,54,acoustic
0.497,0.13,-15.571,0.0436,0.841,0.0,0.111,0.179,130.769,181136,62,acoustic
0.528,0.291,-9.696,0.0401,0.914,0.0,0.121,0.355,76.805,157466,57,acoustic
0.461,0.522,-7.513,0.043,0.36,0.0,0.123,0.446,157.768,233728,68,acoustic
0.483,0.506,-6.058,0.0347,0.394,0.0,0.0946,0.705,87.337,216612,62,acoustic
0.392,0.423,-7.813,0.0348,0.27,0.0,0.117,0.288,113.537,245186,53,acoustic
0.42,0.2,-18.827,0.0492,0.929,0.49,0.0758,0.164,87.248,219613,44,acoustic
0.657,0.716,-5.675,0.0301,0.014,0.0,0.0483,0.435,93.924,248960,57,acoustic
0.495,0.185,-13.824,0.0288,0.692,0.00403,0.109,0.196,101.89,252466,52,acoustic
0.55,0.499,-9.502,0.0338,0.472,2.26e-06,0.0798,0.144,86.966,246613,53,acoustic
0.534,0.359,-9.311,0.0296,0.449,1.2e-05,0.331,0.267,131.804,198786,53,acoustic
0.378,0.52,-10.965,0.0382,0.777,0.0888,0.0979,0.357,73.744,226640,55,acoustic
0.606,0.349,-13.967,0.0319,0.764,0.306,0.112,0.156,80.071,203869,66,acoustic
0.486,0.555,-9.466,0.0271,0.818,0.00269,0.109,0.0992,77.987,317441,49,acoustic
